,citypair,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,revenue,Aircraft_Unit_Cost ($ millions USD),Aircraft_Inverse_Age 1/age (1/yrs),Number_of_Cancellations,Proportion of Seats filled,Aircraft Age (yrs),Origin_Airport_Code,Destination_Airport_Code,origin_airport_type,origin_lat,origin_long,origin_city,dest_airport_type,dest_lat,dest_long,dest_city,Route_Distance,origin_population,origin_density,dest_population,dest_density
0,ABQ-BWI,108.0,110.0,13736.0,15444.0,57.42754358574032,52.84299508131669,9585665.0,11058,74.0,0.09090909090909091,2.0,0.8894068894068894,11.0,ABQ,BWI,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,39.1754,-76.668297,Baltimore,1670.2377702877734,765693.0,1155.5,2205092.0,2872.8
1,ABQ-DAL,488.0,504.0,56344.0,74104.0,56.59477769104,53.00822626186139,14229909.0,16207,74.0,0.0909090909090909,16.0,0.7603368239231351,11.000000000000002,ABQ,DAL,medium_airport,35.040199,-106.609001,Albuquerque,medium_airport,32.847099,-96.851799,Dallas,580.2265856333393,765693.0,1155.5,5668165.0,1522.2
2,ABQ-DEN,330.0,337.0,37782.0,47510.0,56.59477769104,53.00822626186139,14229909.0,16207,74.0,0.0909090909090909,7.0,0.7952431067143759,11.000000000000002,ABQ,DEN,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,39.86169815,-104.6729965,Denver,349.1032835326989,765693.0,1155.5,2650725.0,1805.7
3,ABQ-HOU,326.0,335.0,39590.0,50650.0,56.92788404892012,52.94213378964351,23815574.0,27265,74.0,0.09090909090909091,9.0,0.7816386969397828,11.0,ABQ,HOU,medium_airport,35.040199,-106.609001,Albuquerque,medium_airport,29.645399,-95.2789,Houston,759.153724365196,765693.0,1155.5,5650910.0,1394.6
4,ABQ-LAS,324.0,333.0,35966.0,46332.0,57.42754358574032,52.84299508131669,9585665.0,11058,74.0,0.09090909090909091,9.0,0.7762669429336096,11.0,ABQ,LAS,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,36.083361,-115.151817,Las Vegas,486.4241103063761,765693.0,1155.5,2150373.0,1754.7
5,ABQ-LAX,60.0,65.0,7056.0,8708.0,57.42754358574032,52.84299508131669,9585665.0,11058,74.0,0.09090909090909091,5.0,0.8102893890675241,11.0,ABQ,LAX,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,33.942501,-118.407997,Los Angeles,677.2320302113061,765693.0,1155.5,12121244.0,3267.6
6,ABQ-MDW,109.0,114.0,14163.0,16387.0,57.42754358574032,52.84299508131669,9585665.0,11058,74.0,0.09090909090909091,5.0,0.8642826630865931,11.0,ABQ,MDW,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,41.785999,-87.752403,Chicago,1120.9500653403343,765693.0,1155.5,8595181.0,4576.6
7,ABQ-OAK,147.0,149.0,15521.0,21021.0,54.92924590163936,53.33868862295082,4644244.0,5149,74.0,0.09090909090909091,2.0,0.7383568812140241,11.0,ABQ,OAK,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,37.721298,-122.221001,Oakland,888.7191010375051,765693.0,1155.5,437548.0,2917.1
8,ABQ-PHX,402.0,404.0,47648.0,57486.0,54.92924590163936,53.33868862295082,4644244.0,5149,74.0,0.09090909090909091,2.0,0.8288626796089482,11.0,ABQ,PHX,medium_airport,35.040199,-106.609001,Albuquerque,large_airport,33.435302,-112.005905,Phoenix,328.09516916498546,765693.0,1155.5,4047095.0,1251.8
9,ALB-BWI,426.0,453.0,52896.0,63222.0,56.178394743689836,53.09084185213375,18874153.0,21356,74.0,0.09090909090909091,27.0,0.8366707791591534,11.0,ALB,BWI,medium_airport,42.74829865,-73.80169678,Albany,large_airport,39.1754,-76.668297,Baltimore,288.52294401406186,604077.0,4345.3,2205092.0,2872.8
